id,number,title,state,created_at,updated_at,closed_at,assignee,milestone,html_url,refatoracao,testes_regressao,prioridade,tempo_resolucao_dias
2409304763,40636,Build(deps-dev): Bump stylelint from 16.6.1 to 16.7.0,closed,2024-07-15 17:56:50+00:00,2024-07-15 18:01:18+00:00,2024-07-15 18:01:16+00:00,,,https://github.com/twbs/bootstrap/pull/40636,False,False,média,0
2409304437,40635,Build(deps-dev): Bump sass from 1.77.6 to 1.77.8,closed,2024-07-15 17:56:38+00:00,2024-07-15 17:57:39+00:00,2024-07-15 17:57:37+00:00,,,https://github.com/twbs/bootstrap/pull/40635,False,False,média,0
2409304163,40634,Build(deps-dev): Bump eslint-plugin-markdown from 5.0.0 to 5.1.0,closed,2024-07-15 17:56:26+00:00,2024-07-15 17:58:42+00:00,2024-07-15 17:58:40+00:00,,,https://github.com/twbs/bootstrap/pull/40634,False,False,média,0
2409303917,40633,Build(deps-dev): Bump @babel/cli from 7.24.7 to 7.24.8,closed,2024-07-15 17:56:16+00:00,2024-07-29 04:04:02+00:00,2024-07-15 17:59:41+00:00,,,https://github.com/twbs/bootstrap/pull/40633,False,False,média,0
2409303603,40632,Build(deps-dev): Bump terser from 5.31.1 to 5.31.2,closed,2024-07-15 17:56:04+00:00,2024-07-29 04:05:21+00:00,2024-07-15 17:57:56+00:00,,,https://github.com/twbs/bootstrap/pull/40632,False,False,média,0
2407179338,40631,License for Bootstrap examples isn't clear,closed,2024-07-13 22:08:32+00:00,2024-07-26 16:04:29+00:00,2024-07-24 16:07:47+00:00,mdo,,https://github.com/twbs/bootstrap/issues/40631,False,False,média,10
2406038117,40630,"5.3.3 - class=""alert alert-danger"" : Doesn't show alert text color",closed,2024-07-12 17:28:55+00:00,2024-07-14 11:17:46+00:00,2024-07-14 11:17:46+00:00,,,https://github.com/twbs/bootstrap/issues/40630,False,False,média,1
2405130635,40629,"Regarding Border - start and end, not working!",closed,2024-07-12 09:19:30+00:00,2024-07-12 09:33:37+00:00,2024-07-12 09:33:36+00:00,,,https://github.com/twbs/bootstrap/issues/40629,False,False,média,0
2403491211,40627,Error Cannot read properties of undefined (reading 'backdrop'),closed,2024-07-11 15:31:15+00:00,2024-07-11 15:52:01+00:00,2024-07-11 15:52:01+00:00,,,https://github.com/twbs/bootstrap/issues/40627,False,False,média,0
2402976148,40626,"last line ""text -danger"" replace to ""text -success"". ",closed,2024-07-11 11:46:02+00:00,2024-07-11 11:52:49+00:00,2024-07-11 11:52:48+00:00,,,https://github.com/twbs/bootstrap/issues/40626,False,False,média,0
2402868424,40625,Bootstrap 5.3 - fixed-top navbar versus dark themeProvide a general summary of the issue,closed,2024-07-11 10:46:47+00:00,2024-07-11 11:48:29+00:00,2024-07-11 11:48:29+00:00,,,https://github.com/twbs/bootstrap/issues/40625,False,False,média,0
2401044791,40623,Fix use of declarations after nested rules (deprecated in Sass 1.77.7),closed,2024-07-10 15:14:24+00:00,2024-11-08 09:18:48+00:00,2024-07-15 21:10:14+00:00,,,https://github.com/twbs/bootstrap/pull/40623,False,False,média,5
2400662524,40622,Deprecation notices with latest Dart Sass 1.77.7,closed,2024-07-10 12:43:41+00:00,2024-07-10 12:57:51+00:00,2024-07-10 12:57:51+00:00,,,https://github.com/twbs/bootstrap/issues/40622,False,True,média,0
2400652923,40621,SASS deprecation warnings with version 1.77.7 - Mixed declarations,closed,2024-07-10 12:39:30+00:00,2025-01-23 08:24:44+00:00,2024-07-15 21:10:15+00:00,,,https://github.com/twbs/bootstrap/issues/40621,False,False,média,5
2399906664,40620,Docs: minor accessibility improvements for Examples,closed,2024-07-10 06:52:26+00:00,2024-07-19 05:01:24+00:00,2024-07-19 04:45:43+00:00,,,https://github.com/twbs/bootstrap/pull/40620,False,False,baixa,8
2397986379,40619,Docs: Fix a minor accessibility issue (checkout example missing h1),closed,2024-07-09 11:49:34+00:00,2024-07-10 05:13:17+00:00,2024-07-10 04:51:52+00:00,,,https://github.com/twbs/bootstrap/pull/40619,False,False,baixa,0
2397645133,40618,Build(deps-dev): Bump @stackblitz/sdk from 1.10.0 to 1.11.0,closed,2024-07-09 09:24:51+00:00,2024-07-15 17:53:45+00:00,2024-07-15 17:53:43+00:00,,,https://github.com/twbs/bootstrap/pull/40618,False,False,média,6
2397644893,40617,Build(deps-dev): Bump rollup from 4.18.0 to 4.18.1,closed,2024-07-09 09:24:43+00:00,2024-07-15 17:55:18+00:00,2024-07-15 17:55:17+00:00,,,https://github.com/twbs/bootstrap/pull/40617,False,False,média,6
2397644500,40616,Build(deps-dev): Bump npm-run-all2 from 6.2.0 to 6.2.2,closed,2024-07-09 09:24:30+00:00,2024-07-15 17:54:50+00:00,2024-07-15 17:54:48+00:00,,,https://github.com/twbs/bootstrap/pull/40616,False,False,média,6
2397644001,40615,Build(deps-dev): Bump hugo-bin from 0.125.0 to 0.125.2,closed,2024-07-09 09:24:16+00:00,2024-07-15 17:54:24+00:00,2024-07-15 17:54:22+00:00,,,https://github.com/twbs/bootstrap/pull/40615,False,False,média,6
2397550324,40613,const myModal = document.getElementById('myModal') doesn't work,closed,2024-07-09 08:45:11+00:00,2024-07-12 04:47:04+00:00,2024-07-12 04:47:04+00:00,,,https://github.com/twbs/bootstrap/issues/40613,False,False,média,2
2397486513,40612,Col-auto doesn't have width equal to its content when content is a nested BS grid,closed,2024-07-09 08:19:17+00:00,2024-07-09 08:51:40+00:00,2024-07-09 08:51:40+00:00,,,https://github.com/twbs/bootstrap/issues/40612,False,False,média,0
2393975933,40611,Global configuration to enable the use of calc Fixed,closed,2024-07-07 09:41:56+00:00,2024-10-06 09:52:00+00:00,2024-10-06 09:52:00+00:00,,,https://github.com/twbs/bootstrap/pull/40611,False,False,média,91
2388306490,40606,#39817 issue to add outlined badges,closed,2024-07-03 10:48:01+00:00,2024-07-03 10:54:23+00:00,2024-07-03 10:54:23+00:00,,,https://github.com/twbs/bootstrap/pull/40606,False,False,média,0
2385172681,40604,Build(deps-dev): Bump stylelint-config-twbs-bootstrap from 14.1.0 to 14.2.0,closed,2024-07-02 04:17:16+00:00,2024-07-02 04:23:10+00:00,2024-07-02 04:23:08+00:00,,,https://github.com/twbs/bootstrap/pull/40604,False,False,média,0
2385172487,40603,Build(deps-dev): Bump @rollup/plugin-commonjs from 25.0.8 to 26.0.1,closed,2024-07-02 04:17:08+00:00,2024-07-02 04:23:01+00:00,2024-07-02 04:23:00+00:00,,,https://github.com/twbs/bootstrap/pull/40603,False,False,média,0
